filename,word,ink,condition
RED_as_red_bg-white.png,red,red,congruent
BLUE_as_blue_bg-white.png,blue,blue,congruent
GREEN_as_green_bg-white.png,green,green,congruent
YELLOW_as_yellow_bg-white.png,yellow,yellow,congruent
ORANGE_as_orange_bg-white.png,orange,orange,congruent
PURPLE_as_purple_bg-white.png,purple,purple,congruent
BROWN_as_brown_bg-white.png,brown,brown,congruent
PINK_as_pink_bg-white.png,pink,pink,congruent
GRAY_as_gray_bg-white.png,gray,gray,congruent
BLACK_as_black_bg-white.png,black,black,congruent
RED_as_blue_bg-white_T06_S08_B08.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S08_B10.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S08_B12.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S10_B08.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S10_B10.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S10_B12.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S12_B08.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S12_B10.png,red,blue,incongruent
RED_as_blue_bg-white_T06_S12_B12.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S08_B08.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S08_B10.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S08_B12.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S10_B08.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S10_B10.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S10_B12.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S12_B08.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S12_B10.png,red,blue,incongruent
RED_as_blue_bg-softgray_T06_S12_B12.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S08_B08.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S08_B10.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S08_B12.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S10_B08.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S10_B10.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S10_B12.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S12_B08.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S12_B10.png,red,blue,incongruent
RED_as_blue_bg-beige_T06_S12_B12.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S08_B08.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S08_B10.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S08_B12.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S10_B08.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S10_B10.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S10_B12.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S12_B08.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S12_B10.png,red,blue,incongruent
RED_as_blue_bg-softpink_T06_S12_B12.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S08_B08.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S08_B10.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S08_B12.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S10_B08.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S10_B10.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S10_B12.png,red,blue,incongruent
RED_as_blue_bg-mint_T06_S12_B08.png,red,blue,incongruent
