file,word_color,true_ink,pred_ink,correct,condition
black_as_black.png,black,black,black,1,congruent
black_as_blue.png,black,blue,black,0,incongruent
black_as_brown.png,black,brown,black,0,incongruent
black_as_gray.png,black,gray,black,0,incongruent
black_as_green.png,black,green,black,0,incongruent
black_as_orange.png,black,orange,black,0,incongruent
black_as_pink.png,black,pink,black,0,incongruent
black_as_purple.png,black,purple,black,0,incongruent
black_as_red.png,black,red,black,0,incongruent
black_as_yellow.png,black,yellow,black,0,incongruent
blue_as_black.png,blue,black,blue,0,incongruent
blue_as_blue.png,blue,blue,blue,1,congruent
blue_as_brown.png,blue,brown,blue,0,incongruent
blue_as_gray.png,blue,gray,blue,0,incongruent
blue_as_green.png,blue,green,blue,0,incongruent
blue_as_orange.png,blue,orange,blue,0,incongruent
blue_as_pink.png,blue,pink,blue,0,incongruent
blue_as_purple.png,blue,purple,blue,0,incongruent
blue_as_red.png,blue,red,blue,0,incongruent
blue_as_yellow.png,blue,yellow,blue,0,incongruent
brown_as_black.png,brown,black,brown,0,incongruent
brown_as_blue.png,brown,blue,brown,0,incongruent
brown_as_brown.png,brown,brown,brown,1,congruent
brown_as_gray.png,brown,gray,brown,0,incongruent
brown_as_green.png,brown,green,brown,0,incongruent
brown_as_orange.png,brown,orange,brown,0,incongruent
brown_as_pink.png,brown,pink,pink,1,incongruent
brown_as_purple.png,brown,purple,purple,1,incongruent
brown_as_red.png,brown,red,brown,0,incongruent
brown_as_yellow.png,brown,yellow,yellow,1,incongruent
gray_as_black.png,gray,black,gray,0,incongruent
gray_as_blue.png,gray,blue,gray,0,incongruent
gray_as_brown.png,gray,brown,gray,0,incongruent
gray_as_gray.png,gray,gray,gray,1,congruent
gray_as_green.png,gray,green,green,1,incongruent
gray_as_orange.png,gray,orange,gray,0,incongruent
gray_as_pink.png,gray,pink,gray,0,incongruent
gray_as_purple.png,gray,purple,purple,1,incongruent
gray_as_red.png,gray,red,gray,0,incongruent
gray_as_yellow.png,gray,yellow,gray,0,incongruent
green_as_black.png,green,black,green,0,incongruent
green_as_blue.png,green,blue,green,0,incongruent
green_as_brown.png,green,brown,brown,1,incongruent
green_as_gray.png,green,gray,green,0,incongruent
green_as_green.png,green,green,green,1,congruent
green_as_orange.png,green,orange,green,0,incongruent
green_as_pink.png,green,pink,green,0,incongruent
green_as_purple.png,green,purple,purple,1,incongruent
green_as_red.png,green,red,green,0,incongruent
green_as_yellow.png,green,yellow,green,0,incongruent
orange_as_black.png,orange,black,orange,0,incongruent
orange_as_blue.png,orange,blue,orange,0,incongruent
orange_as_brown.png,orange,brown,orange,0,incongruent
orange_as_gray.png,orange,gray,orange,0,incongruent
orange_as_green.png,orange,green,orange,0,incongruent
orange_as_orange.png,orange,orange,orange,1,congruent
orange_as_pink.png,orange,pink,orange,0,incongruent
orange_as_purple.png,orange,purple,orange,0,incongruent
orange_as_red.png,orange,red,orange,0,incongruent
orange_as_yellow.png,orange,yellow,orange,0,incongruent
pink_as_black.png,pink,black,pink,0,incongruent
pink_as_blue.png,pink,blue,pink,0,incongruent
pink_as_brown.png,pink,brown,pink,0,incongruent
pink_as_gray.png,pink,gray,pink,0,incongruent
pink_as_green.png,pink,green,pink,0,incongruent
pink_as_orange.png,pink,orange,pink,0,incongruent
pink_as_pink.png,pink,pink,pink,1,congruent
pink_as_purple.png,pink,purple,pink,0,incongruent
pink_as_red.png,pink,red,pink,0,incongruent
pink_as_yellow.png,pink,yellow,pink,0,incongruent
purple_as_black.png,purple,black,purple,0,incongruent
purple_as_blue.png,purple,blue,purple,0,incongruent
purple_as_brown.png,purple,brown,purple,0,incongruent
purple_as_gray.png,purple,gray,purple,0,incongruent
purple_as_green.png,purple,green,purple,0,incongruent
purple_as_orange.png,purple,orange,purple,0,incongruent
purple_as_pink.png,purple,pink,purple,0,incongruent
purple_as_purple.png,purple,purple,purple,1,congruent
purple_as_red.png,purple,red,purple,0,incongruent
purple_as_yellow.png,purple,yellow,purple,0,incongruent
red_as_black.png,red,black,red,0,incongruent
red_as_blue.png,red,blue,red,0,incongruent
red_as_brown.png,red,brown,red,0,incongruent
red_as_gray.png,red,gray,red,0,incongruent
red_as_green.png,red,green,red,0,incongruent
red_as_orange.png,red,orange,red,0,incongruent
red_as_pink.png,red,pink,red,0,incongruent
red_as_purple.png,red,purple,purple,1,incongruent
red_as_red.png,red,red,red,1,congruent
red_as_yellow.png,red,yellow,red,0,incongruent
yellow_as_black.png,yellow,black,yellow,0,incongruent
yellow_as_blue.png,yellow,blue,yellow,0,incongruent
yellow_as_brown.png,yellow,brown,yellow,0,incongruent
yellow_as_gray.png,yellow,gray,yellow,0,incongruent
yellow_as_green.png,yellow,green,yellow,0,incongruent
yellow_as_orange.png,yellow,orange,yellow,0,incongruent
yellow_as_pink.png,yellow,pink,yellow,0,incongruent
yellow_as_purple.png,yellow,purple,yellow,0,incongruent
yellow_as_red.png,yellow,red,yellow,0,incongruent
yellow_as_yellow.png,yellow,yellow,yellow,1,congruent
